time,theta,omega,energy
9.400000,-0.614888,-2.971195,6.208991,16.833013
9.450000,-0.755911,-2.665096,6.220427,14.233680
9.500000,-0.880391,-2.310522,6.228128,11.579637
9.550000,-0.986194,-1.918936,6.232855,9.090618
9.600000,-1.071728,-1.500537,6.235449,6.941970
9.650000,-1.135867,-1.063816,6.236659,5.260897
9.700000,-1.177869,-0.615535,6.237073,4.131251
9.750000,-1.197290,-0.161030,6.237121,3.601775
9.800000,-1.193933,0.295275,6.237135,3.693645
9.850000,-1.167810,0.749242,6.237442,4.404603
9.900000,-1.119150,1.196356,6.238449,5.708454
9.950000,-1.048431,1.631101,6.240715,7.550022
