time,theta,omega,energy
9.450000,-0.755911,-2.665096,6.220427
9.500000,-0.880391,-2.310522,6.228128
9.550000,-0.986194,-1.918936,6.232855
9.600000,-1.071728,-1.500537,6.235449
9.650000,-1.135867,-1.063816,6.236659
9.700000,-1.177869,-0.615535,6.237073
9.750000,-1.197290,-0.161030,6.237121
9.800000,-1.193933,0.295275,6.237135
9.850000,-1.167810,0.749242,6.237442
9.900000,-1.119150,1.196356,6.238449
9.950000,-1.048431,1.631101,6.240715
